gatherer,date,fruit,amount
Paul,06-01-2020,tomatoes,0.04
Jason,06-01-2020,apples,0.01
Jason,06-01-2020,oranges,0.11
Jason,06-01-2020,strawberries,0
Jason,06-01-2020,plums,0
Jason,06-01-2020,pears,0.01
Jason,06-01-2020,tomatoes,0.06
Peter,06-01-2020,apples,0
Peter,06-01-2020,oranges,0.12
Peter,06-01-2020,strawberries,0
Peter,06-01-2020,plums,0
Peter,06-01-2020,pears,0.01
Peter,06-01-2020,tomatoes,0.03
John,07-01-2020,apples,0.01
John,07-01-2020,oranges,0.14
John,07-01-2020,strawberries,0
John,07-01-2020,plums,0
John,07-01-2020,pears,0.01
John,07-01-2020,tomatoes,0
Nick,07-01-2020,apples,0
Nick,07-01-2020,oranges,0.16
Nick,07-01-2020,strawberries,0
Nick,07-01-2020,plums,0
Nick,07-01-2020,pears,0.01
Nick,07-01-2020,tomatoes,0.11
Rick,07-01-2020,apples,0.01
Rick,07-01-2020,oranges,0.17
Rick,07-01-2020,strawberries,0
Rick,07-01-2020,plums,0
Rick,07-01-2020,pears,0.01
Rick,07-01-2020,tomatoes,0.02
Dick,07-01-2020,apples,0.01
Dick,07-01-2020,oranges,0.09
Dick,07-01-2020,strawberries,0
Dick,07-01-2020,plums,0
Dick,07-01-2020,pears,0.02
Dick,07-01-2020,tomatoes,0.04
Jake,07-01-2020,apples,0.01
Jake,07-01-2020,oranges,0.1
Jake,07-01-2020,strawberries,0
Jake,07-01-2020,plums,0
Jake,07-01-2020,pears,0.01
Jake,07-01-2020,tomatoes,0.06
Paul,07-01-2020,apples,0
Paul,07-01-2020,oranges,0.08
Paul,07-01-2020,strawberries,0
Paul,07-01-2020,plums,0
Paul,07-01-2020,pears,0.01
Paul,07-01-2020,tomatoes,0.05
Jason,07-01-2020,apples,0
Jason,07-01-2020,oranges,0.07
Jason,07-01-2020,strawberries,0
Jason,07-01-2020,plums,0
Jason,07-01-2020,pears,0
Jason,07-01-2020,tomatoes,0.15
Peter,07-01-2020,apples,0.01
Peter,07-01-2020,oranges,0.09
Peter,07-01-2020,strawberries,0
Peter,07-01-2020,plums,0
Peter,07-01-2020,pears,0.01
Peter,07-01-2020,tomatoes,0.15
John,08-01-2020,apples,0
John,08-01-2020,oranges,0.1
John,08-01-2020,strawberries,0
John,08-01-2020,plums,0
John,08-01-2020,pears,0.01
John,08-01-2020,tomatoes,0.01
Nick,08-01-2020,apples,0.01
Nick,08-01-2020,oranges,0.14
Nick,08-01-2020,strawberries,0
Nick,08-01-2020,plums,0
Nick,08-01-2020,pears,0.01
Nick,08-01-2020,tomatoes,0.03
Rick,08-01-2020,apples,0.01
Rick,08-01-2020,oranges,0.12
Rick,08-01-2020,strawberries,0
Rick,08-01-2020,plums,0
Rick,08-01-2020,pears,0.01
Rick,08-01-2020,tomatoes,0.05
Dick,08-01-2020,apples,0.01
Dick,08-01-2020,oranges,0.16
Dick,08-01-2020,strawberries,0.01
Dick,08-01-2020,plums,0
Dick,08-01-2020,pears,0.02
Dick,08-01-2020,tomatoes,0.02
Jake,08-01-2020,apples,0.01
Jake,08-01-2020,oranges,0.08
Jake,08-01-2020,strawberries,0
Jake,08-01-2020,plums,0
Jake,08-01-2020,pears,0.01
Jake,08-01-2020,tomatoes,0.04
Paul,08-01-2020,apples,0.01
Paul,08-01-2020,oranges,0.11
Paul,08-01-2020,strawberries,0
Paul,08-01-2020,plums,0
Paul,08-01-2020,pears,0.01
Paul,08-01-2020,tomatoes,0.17
Jason,08-01-2020,apples,0.01
Jason,08-01-2020,oranges,0.03
Jason,08-01-2020,strawberries,0
Jason,08-01-2020,plums,0
Jason,08-01-2020,pears,0.01
Jason,08-01-2020,tomatoes,0.12
Peter,08-01-2020,apples,0
Peter,08-01-2020,oranges,0.18
Peter,08-01-2020,strawberries,0
Peter,08-01-2020,plums,0
Peter,08-01-2020,pears,0.01
Peter,08-01-2020,tomatoes,0.02
John,09-01-2020,apples,0
John,09-01-2020,oranges,0.11
John,09-01-2020,strawberries,0
John,09-01-2020,plums,0
John,09-01-2020,pears,0.02
John,09-01-2020,tomatoes,0.15
Nick,09-01-2020,apples,0.01
Nick,09-01-2020,oranges,0.08
Nick,09-01-2020,strawberries,0
Nick,09-01-2020,plums,0
Nick,09-01-2020,pears,0.01
Nick,09-01-2020,tomatoes,0.08
Rick,09-01-2020,apples,0
Rick,09-01-2020,oranges,0.14
Rick,09-01-2020,strawberries,0
Rick,09-01-2020,plums,0
Rick,09-01-2020,pears,0.01
Rick,09-01-2020,tomatoes,0.18
Dick,09-01-2020,apples,0.01
Dick,09-01-2020,oranges,0.04
Dick,09-01-2020,strawberries,0
Dick,09-01-2020,plums,0
Dick,09-01-2020,pears,0
Dick,09-01-2020,tomatoes,0.11
Jake,09-01-2020,apples,0.01
Jake,09-01-2020,oranges,0.11
Jake,09-01-2020,strawberries,0
Jake,09-01-2020,plums,0
Jake,09-01-2020,pears,0.02
Jake,09-01-2020,tomatoes,0.1
Paul,09-01-2020,apples,0
Paul,09-01-2020,oranges,0.03
Paul,09-01-2020,strawberries,0
Paul,09-01-2020,plums,0
Paul,09-01-2020,pears,0
Paul,09-01-2020,tomatoes,0.07
Jason,09-01-2020,apples,0
Jason,09-01-2020,oranges,0.16
Jason,09-01-2020,strawberries,0
Jason,09-01-2020,plums,0
Jason,09-01-2020,pears,0.01
Jason,09-01-2020,tomatoes,0.1
Peter,09-01-2020,apples,0.01
Peter,09-01-2020,oranges,0.09
Peter,09-01-2020,strawberries,0
Peter,09-01-2020,plums,0
Peter,09-01-2020,pears,0.02
Peter,09-01-2020,tomatoes,0.03
John,10-01-2020,apples,0.01
John,10-01-2020,oranges,0.09
John,10-01-2020,strawberries,0
John,10-01-2020,plums,0
John,10-01-2020,pears,0
John,10-01-2020,tomatoes,0.11
Nick,10-01-2020,apples,0.01
Nick,10-01-2020,oranges,0.22
Nick,10-01-2020,strawberries,0
Nick,10-01-2020,plums,0
Nick,10-01-2020,pears,0.02
Nick,10-01-2020,tomatoes,0.11
Rick,10-01-2020,apples,0
Rick,10-01-2020,oranges,0.11
Rick,10-01-2020,strawberries,0
Rick,10-01-2020,plums,0
Rick,10-01-2020,pears,0.01
Rick,10-01-2020,tomatoes,0.03
Dick,10-01-2020,apples,0
Dick,10-01-2020,oranges,0.1
Dick,10-01-2020,strawberries,0
Dick,10-01-2020,plums,0
Dick,10-01-2020,pears,0.01
Dick,10-01-2020,tomatoes,0.03
Jake,10-01-2020,apples,0.01
Jake,10-01-2020,oranges,0.1
Jake,10-01-2020,strawberries,0
Jake,10-01-2020,plums,0
Jake,10-01-2020,pears,0.02
Jake,10-01-2020,tomatoes,0.12
Paul,10-01-2020,apples,0
Paul,10-01-2020,oranges,0.08
Paul,10-01-2020,strawberries,0
Paul,10-01-2020,plums,0
Paul,10-01-2020,pears,0.01
Paul,10-01-2020,tomatoes,0.07
Jason,10-01-2020,apples,0
Jason,10-01-2020,oranges,0.13
Jason,10-01-2020,strawberries,0
Jason,10-01-2020,plums,0
Jason,10-01-2020,pears,0.01
Jason,10-01-2020,tomatoes,0.07
Peter,10-01-2020,apples,0.01
Peter,10-01-2020,oranges,0.16
Peter,10-01-2020,strawberries,0
Peter,10-01-2020,plums,0
Peter,10-01-2020,pears,0.02
Peter,10-01-2020,tomatoes,0.08
John,11-01-2020,apples,0.01
John,11-01-2020,oranges,0.2
John,11-01-2020,strawberries,0
John,11-01-2020,plums,0
John,11-01-2020,pears,0.02
John,11-01-2020,tomatoes,0.14
Nick,11-01-2020,apples,0.01
Nick,11-01-2020,oranges,0.1
Nick,11-01-2020,strawberries,0
Nick,11-01-2020,plums,0
Nick,11-01-2020,pears,0.02
Nick,11-01-2020,tomatoes,0.1
Rick,11-01-2020,apples,0.01
Rick,11-01-2020,oranges,0.13
Rick,11-01-2020,strawberries,0
Rick,11-01-2020,plums,0
Rick,11-01-2020,pears,0.01
Rick,11-01-2020,tomatoes,0.09
Dick,11-01-2020,apples,0.01
Dick,11-01-2020,oranges,0.1
Dick,11-01-2020,strawberries,0
Dick,11-01-2020,plums,0
Dick,11-01-2020,pears,0.01
Dick,11-01-2020,tomatoes,0.06
Jake,11-01-2020,apples,0.01
Jake,11-01-2020,oranges,0.08
Jake,11-01-2020,strawberries,0
Jake,11-01-2020,plums,0
Jake,11-01-2020,pears,0.01
Jake,11-01-2020,tomatoes,0.07
Paul,11-01-2020,apples,0.01
Paul,11-01-2020,oranges,0.12
Paul,11-01-2020,strawberries,0
Paul,11-01-2020,plums,0
Paul,11-01-2020,pears,0.02
Paul,11-01-2020,tomatoes,0.12
Jason,11-01-2020,apples,0
Jason,11-01-2020,oranges,0.16
Jason,11-01-2020,strawberries,0
Jason,11-01-2020,plums,0
Jason,11-01-2020,pears,0.01
Jason,11-01-2020,tomatoes,0.13
Peter,11-01-2020,apples,0.01
Peter,11-01-2020,oranges,0.13
Peter,11-01-2020,strawberries,0
Peter,11-01-2020,plums,0
Peter,11-01-2020,pears,0.01
Peter,11-01-2020,tomatoes,0.04
John,12-01-2020,apples,0.01
John,12-01-2020,oranges,0.08
John,12-01-2020,strawberries,0
John,12-01-2020,plums,0
John,12-01-2020,pears,0.01
John,12-01-2020,tomatoes,0.15
Nick,12-01-2020,apples,0.01
Nick,12-01-2020,oranges,0.1
Nick,12-01-2020,strawberries,0
Nick,12-01-2020,plums,0
Nick,12-01-2020,pears,0.02
Nick,12-01-2020,tomatoes,0.03
Rick,12-01-2020,apples,0.01
Rick,12-01-2020,oranges,0.13
Rick,12-01-2020,strawberries,0
Rick,12-01-2020,plums,0
Rick,12-01-2020,pears,0.01
Rick,12-01-2020,tomatoes,0.03
Dick,12-01-2020,apples,0.01
Dick,12-01-2020,oranges,0.17
Dick,12-01-2020,strawberries,0
Dick,12-01-2020,plums,0
Dick,12-01-2020,pears,0.02
Dick,12-01-2020,tomatoes,0.12
Jake,12-01-2020,apples,0.01
Jake,12-01-2020,oranges,0.04
Jake,12-01-2020,strawberries,0
Jake,12-01-2020,plums,0
Jake,12-01-2020,pears,0.01
Jake,12-01-2020,tomatoes,0.2
Paul,12-01-2020,apples,0
Paul,12-01-2020,oranges,0.11
Paul,12-01-2020,strawberries,0
Paul,12-01-2020,plums,0
Paul,12-01-2020,pears,0.01
Paul,12-01-2020,tomatoes,0.03
Jason,12-01-2020,apples,0.01
Jason,12-01-2020,oranges,0.09
Jason,12-01-2020,strawberries,0
Jason,12-01-2020,plums,0
Jason,12-01-2020,pears,0.01
Jason,12-01-2020,tomatoes,0.11
Peter,12-01-2020,apples,0.01
Peter,12-01-2020,oranges,0.09
Peter,12-01-2020,strawberries,0
Peter,12-01-2020,plums,0
Peter,12-01-2020,pears,0.01
Peter,12-01-2020,tomatoes,0.17
John,13-01-2020,apples,0
John,13-01-2020,oranges,0.12
John,13-01-2020,strawberries,0
John,13-01-2020,plums,0
John,13-01-2020,pears,0.02
John,13-01-2020,tomatoes,0.15
Nick,13-01-2020,apples,0.01
Nick,13-01-2020,oranges,0.13
Nick,13-01-2020,strawberries,0
Nick,13-01-2020,plums,0
Nick,13-01-2020,pears,0.01
Nick,13-01-2020,tomatoes,0.19
Rick,13-01-2020,apples,0
Rick,13-01-2020,oranges,0.12
Rick,13-01-2020,strawberries,0
Rick,13-01-2020,plums,0
Rick,13-01-2020,pears,0.01
Rick,13-01-2020,tomatoes,0.08
Dick,13-01-2020,apples,0.01
Dick,13-01-2020,oranges,0.12
Dick,13-01-2020,strawberries,0
Dick,13-01-2020,plums,0
Dick,13-01-2020,pears,0.01
Dick,13-01-2020,tomatoes,0.07
Jake,13-01-2020,apples,0
Jake,13-01-2020,oranges,0.14
Jake,13-01-2020,strawberries,0
Jake,13-01-2020,plums,0
Jake,13-01-2020,pears,0.01
Jake,13-01-2020,tomatoes,0.02
Paul,13-01-2020,apples,0.01
Paul,13-01-2020,oranges,0.17
Paul,13-01-2020,strawberries,0
Paul,13-01-2020,plums,0
Paul,13-01-2020,pears,0.01
Paul,13-01-2020,tomatoes,0.15
Jason,13-01-2020,apples,0
Jason,13-01-2020,oranges,0.12
Jason,13-01-2020,strawberries,0
Jason,13-01-2020,plums,0
Jason,13-01-2020,pears,0.02
Jason,13-01-2020,tomatoes,0.05
Peter,13-01-2020,apples,0
Peter,13-01-2020,oranges,0.15
Peter,13-01-2020,strawberries,0
Peter,13-01-2020,plums,0
Peter,13-01-2020,pears,0.01
Peter,13-01-2020,tomatoes,0.19
John,14-01-2020,apples,0.01
John,14-01-2020,oranges,0.17
John,14-01-2020,strawberries,0
John,14-01-2020,plums,0
John,14-01-2020,pears,0.02
John,14-01-2020,tomatoes,0.09
Nick,14-01-2020,apples,0.01
Nick,14-01-2020,oranges,0.12
Nick,14-01-2020,strawberries,0
Nick,14-01-2020,plums,0
Nick,14-01-2020,pears,0.02
Nick,14-01-2020,tomatoes,0.05
Rick,14-01-2020,apples,0.01
Rick,14-01-2020,oranges,0.17
Rick,14-01-2020,strawberries,0
Rick,14-01-2020,plums,0
Rick,14-01-2020,pears,0.01
Rick,14-01-2020,tomatoes,0.1
Dick,14-01-2020,apples,0.01
Dick,14-01-2020,oranges,0.13
Dick,14-01-2020,strawberries,0
Dick,14-01-2020,plums,0
Dick,14-01-2020,pears,0.03
Dick,14-01-2020,tomatoes,0.01
Jake,14-01-2020,apples,0.01
Jake,14-01-2020,oranges,0.1
Jake,14-01-2020,strawberries,0
Jake,14-01-2020,plums,0
Jake,14-01-2020,pears,0.01
Jake,14-01-2020,tomatoes,0.06
Paul,14-01-2020,apples,0.01
Paul,14-01-2020,oranges,0.1
Paul,14-01-2020,strawberries,0
Paul,14-01-2020,plums,0
Paul,14-01-2020,pears,0.02
Paul,14-01-2020,tomatoes,0.06
Jason,14-01-2020,apples,0.01
Jason,14-01-2020,oranges,0.13
Jason,14-01-2020,strawberries,0
Jason,14-01-2020,plums,0
Jason,14-01-2020,pears,0
Jason,14-01-2020,tomatoes,0.03
Peter,14-01-2020,apples,0
Peter,14-01-2020,oranges,0.08
Peter,14-01-2020,strawberries,0
Peter,14-01-2020,plums,0
Peter,14-01-2020,pears,0.01
Peter,14-01-2020,tomatoes,0.06
John,15-01-2020,apples,0.01
John,15-01-2020,oranges,0.14
John,15-01-2020,strawberries,0
John,15-01-2020,plums,0
John,15-01-2020,pears,0.02
John,15-01-2020,tomatoes,0.12
Nick,15-01-2020,apples,0
Nick,15-01-2020,oranges,0.14
Nick,15-01-2020,strawberries,0
Nick,15-01-2020,plums,0
Nick,15-01-2020,pears,0
Nick,15-01-2020,tomatoes,0.11
Rick,15-01-2020,apples,0
Rick,15-01-2020,oranges,0.11
Rick,15-01-2020,strawberries,0
Rick,15-01-2020,plums,0
Rick,15-01-2020,pears,0
Rick,15-01-2020,tomatoes,0.1
Dick,15-01-2020,apples,0
Dick,15-01-2020,oranges,0.07
Dick,15-01-2020,strawberries,0.01
Dick,15-01-2020,plums,0
Dick,15-01-2020,pears,0.01
Dick,15-01-2020,tomatoes,0.16
Jake,15-01-2020,apples,0.01
Jake,15-01-2020,oranges,0.11
Jake,15-01-2020,strawberries,0
Jake,15-01-2020,plums,0
Jake,15-01-2020,pears,0
Jake,15-01-2020,tomatoes,0.1
Paul,15-01-2020,apples,0.01
Paul,15-01-2020,oranges,0.09
Paul,15-01-2020,strawberries,0
Paul,15-01-2020,plums,0
Paul,15-01-2020,pears,0.02
Paul,15-01-2020,tomatoes,0.1
Jason,15-01-2020,apples,0.01
Jason,15-01-2020,oranges,0.11
Jason,15-01-2020,strawberries,0
Jason,15-01-2020,plums,0
Jason,15-01-2020,pears,0.02
Jason,15-01-2020,tomatoes,0.11
Peter,15-01-2020,apples,0.01
Peter,15-01-2020,oranges,0.1
Peter,15-01-2020,strawberries,0
Peter,15-01-2020,plums,0
Peter,15-01-2020,pears,0.03
Peter,15-01-2020,tomatoes,0.08
John,16-01-2020,apples,0
John,16-01-2020,oranges,0.13
John,16-01-2020,strawberries,0
John,16-01-2020,plums,0
John,16-01-2020,pears,0.02
John,16-01-2020,tomatoes,0.09
Nick,16-01-2020,apples,0.01
Nick,16-01-2020,oranges,0.14
Nick,16-01-2020,strawberries,0
Nick,16-01-2020,plums,0
Nick,16-01-2020,pears,0.02
Nick,16-01-2020,tomatoes,0.07
Rick,16-01-2020,apples,0.01
Rick,16-01-2020,oranges,0.13
Rick,16-01-2020,strawberries,0
Rick,16-01-2020,plums,0
Rick,16-01-2020,pears,0.01
Rick,16-01-2020,tomatoes,0.03
Dick,16-01-2020,apples,0.01
Dick,16-01-2020,oranges,0.09
Dick,16-01-2020,strawberries,0
Dick,16-01-2020,plums,0
Dick,16-01-2020,pears,0
Dick,16-01-2020,tomatoes,0.08
Jake,16-01-2020,apples,0
Jake,16-01-2020,oranges,0.07
Jake,16-01-2020,strawberries,0
Jake,16-01-2020,plums,0
Jake,16-01-2020,pears,0.01
Jake,16-01-2020,tomatoes,0.13
Paul,16-01-2020,apples,0.01
Paul,16-01-2020,oranges,0.12
Paul,16-01-2020,strawberries,0
Paul,16-01-2020,plums,0
Paul,16-01-2020,pears,0.02
Paul,16-01-2020,tomatoes,0.09
Jason,16-01-2020,apples,0.01
Jason,16-01-2020,oranges,0.13
Jason,16-01-2020,strawberries,0
Jason,16-01-2020,plums,0
Jason,16-01-2020,pears,0.01
Jason,16-01-2020,tomatoes,0.06
Peter,16-01-2020,apples,0.01
Peter,16-01-2020,oranges,0.13
Peter,16-01-2020,strawberries,0
Peter,16-01-2020,plums,0
Peter,16-01-2020,pears,0.01
Peter,16-01-2020,tomatoes,0.14
John,17-01-2020,apples,0.01
John,17-01-2020,oranges,0.17
John,17-01-2020,strawberries,0
John,17-01-2020,plums,0
John,17-01-2020,pears,0.01
John,17-01-2020,tomatoes,0.12
Nick,17-01-2020,apples,0.01
Nick,17-01-2020,oranges,0.1
Nick,17-01-2020,strawberries,0
Nick,17-01-2020,plums,0
Nick,17-01-2020,pears,0.02
Nick,17-01-2020,tomatoes,0
